session,order_fast_to_slow,group_id,study,setting,variant,seeds,reviewer_requirements,estimated_minutes_t4_per_run,estimated_group_minutes_t4,estimated_session_hours_t4,controls_json
7,4,r_scale__flowers_vit_b16__rscale_2,r_scale,Flowers-102 / ViT-B16,rscale_2,"0,1,2",R2-C3,42,126,7.75,"{""r_scale"": 2.0}"
7,5,lora_rank_sweep__dtd_vit_b16__lora_r8,lora_rank_sweep,DTD / ViT-B16,lora_r8,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.75,"{""lora_rank"": 8}"
8,1,calibration__dtd_resnet18__frac_1_random_p1,calibration,DTD / ResNet-18,frac_1_random_p1,0,"R1-C3,R2-C1,R2-C5",22,22,7.92,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
8,2,reliability__dtd_resnet18__full,reliability,DTD / ResNet-18,full,"0,1,2",R2-C2,22,66,7.92,"{""trso_ablation"": ""full""}"
8,3,batch_sensitivity__flowers_vit_b16__calib_batch_16,batch_sensitivity,Flowers-102 / ViT-B16,calib_batch_16,"0,1,2","R1-C3,R2-C5",42,126,7.92,"{""calibration_batch_size"": 16}"
8,4,reliability__flowers_vit_b16__diagonal_only,reliability,Flowers-102 / ViT-B16,diagonal_only,"0,1,2",R2-C2,42,126,7.92,"{""trso_ablation"": ""diagonal_only""}"
8,5,lora_rank_sweep__flowers_vit_b16__lora_r1,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r1,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.92,"{""lora_rank"": 1}"
9,1,calibration__dtd_resnet18__frac_1_random_p2,calibration,DTD / ResNet-18,frac_1_random_p2,0,"R1-C3,R2-C1,R2-C5",22,22,7.92,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
9,2,reliability__dtd_resnet18__no_crossfit,reliability,DTD / ResNet-18,no_crossfit,"0,1,2",R2-C2,22,66,7.92,"{""trso_ablation"": ""no_crossfit""}"
9,3,batch_sensitivity__flowers_vit_b16__calib_batch_32,batch_sensitivity,Flowers-102 / ViT-B16,calib_batch_32,"0,1,2","R1-C3,R2-C5",42,126,7.92,"{""calibration_batch_size"": 32}"
9,4,reliability__flowers_vit_b16__full,reliability,Flowers-102 / ViT-B16,full,"0,1,2",R2-C2,42,126,7.92,"{""trso_ablation"": ""full""}"
9,5,lora_rank_sweep__flowers_vit_b16__lora_r16,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r16,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.92,"{""lora_rank"": 16}"
10,1,reliability__dtd_resnet18__no_sampling_variance,reliability,DTD / ResNet-18,no_sampling_variance,"0,1,2",R2-C2,22,66,7.55,"{""trso_ablation"": ""no_sampling_variance""}"
10,2,batch_sensitivity__flowers_vit_b16__calib_batch_4,batch_sensitivity,Flowers-102 / ViT-B16,calib_batch_4,"0,1,2","R1-C3,R2-C5",42,126,7.55,"{""calibration_batch_size"": 4}"
10,3,reliability__flowers_vit_b16__no_crossfit,reliability,Flowers-102 / ViT-B16,no_crossfit,"0,1,2",R2-C2,42,126,7.55,"{""trso_ablation"": ""no_crossfit""}"
10,4,lora_rank_sweep__flowers_vit_b16__lora_r2,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r2,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.55,"{""lora_rank"": 2}"
11,1,calibration__dtd_resnet18__frac_0p25_random_p2,calibration,DTD / ResNet-18,frac_0.25_random_p2,0,"R1-C3,R2-C1,R2-C5",22,22,7.88,"{""calibration_fraction"": 0.25, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
11,2,calibration__dtd_resnet18__frac_1_random_p0,calibration,DTD / ResNet-18,frac_1_random_p0,0,"R1-C3,R2-C1,R2-C5",22,22,7.88,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
11,3,calibration__flowers_vit_b16__frac_0p25_random_p0,calibration,Flowers-102 / ViT-B16,frac_0.25_random_p0,0,"R1-C3,R2-C1,R2-C5",42,42,7.88,"{""calibration_fraction"": 0.25, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
11,4,batch_sensitivity__flowers_vit_b16__calib_batch_8,batch_sensitivity,Flowers-102 / ViT-B16,calib_batch_8,"0,1,2","R1-C3,R2-C5",42,126,7.88,"{""calibration_batch_size"": 8}"
11,5,reliability__flowers_vit_b16__no_sampling_variance,reliability,Flowers-102 / ViT-B16,no_sampling_variance,"0,1,2",R2-C2,42,126,7.88,"{""trso_ablation"": ""no_sampling_variance""}"
11,6,lora_rank_sweep__flowers_vit_b16__lora_r32,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r32,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.88,"{""lora_rank"": 32}"
12,1,calibration__flowers_vit_b16__frac_1_random_p2,calibration,Flowers-102 / ViT-B16,frac_1_random_p2,0,"R1-C3,R2-C1,R2-C5",42,42,7.8,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
12,2,r_scale__dtd_resnet18__rscale_1,r_scale,DTD / ResNet-18,rscale_1,"0,1,2",R2-C3,22,66,7.8,"{""r_scale"": 1.0}"
12,3,reliability__dtd_resnet50__diagonal_only,reliability,DTD / ResNet-50,diagonal_only,"0,1,2",R2-C2,33,99,7.8,"{""trso_ablation"": ""diagonal_only""}"
12,4,calibration__flowers_vit_b16__frac_0p25_alternating,calibration,Flowers-102 / ViT-B16,frac_0.25_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",42,126,7.8,"{""calibration_fraction"": 0.25, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
12,5,lora_rank_sweep__flowers_vit_b16__lora_r4,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r4,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.8,"{""lora_rank"": 4}"
13,1,calibration__dtd_resnet18__frac_0p25_random_p0,calibration,DTD / ResNet-18,frac_0.25_random_p0,0,"R1-C3,R2-C1,R2-C5",22,22,7.83,"{""calibration_fraction"": 0.25, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
13,2,calibration__dtd_resnet18__frac_0p5_random_p1,calibration,DTD / ResNet-18,frac_0.5_random_p1,0,"R1-C3,R2-C1,R2-C5",22,22,7.83,"{""calibration_fraction"": 0.5, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
13,3,r_scale__dtd_resnet18__rscale_2,r_scale,DTD / ResNet-18,rscale_2,"0,1,2",R2-C3,22,66,7.83,"{""r_scale"": 2.0}"
13,4,reliability__dtd_resnet50__full,reliability,DTD / ResNet-50,full,"0,1,2",R2-C2,33,99,7.83,"{""trso_ablation"": ""full""}"
13,5,calibration__flowers_vit_b16__frac_0p5_alternating,calibration,Flowers-102 / ViT-B16,frac_0.5_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",42,126,7.83,"{""calibration_fraction"": 0.5, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
13,6,lora_rank_sweep__flowers_vit_b16__lora_r64,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r64,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.83,"{""lora_rank"": 64}"
14,1,calibration__dtd_resnet18__frac_0p25_random_p1,calibration,DTD / ResNet-18,frac_0.25_random_p1,0,"R1-C3,R2-C1,R2-C5",22,22,7.83,"{""calibration_fraction"": 0.25, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
14,2,calibration__dtd_resnet18__frac_0p5_random_p2,calibration,DTD / ResNet-18,frac_0.5_random_p2,0,"R1-C3,R2-C1,R2-C5",22,22,7.83,"{""calibration_fraction"": 0.5, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
14,3,reliability__dtd_resnet18__diagonal_only,reliability,DTD / ResNet-18,diagonal_only,"0,1,2",R2-C2,22,66,7.83,"{""trso_ablation"": ""diagonal_only""}"
14,4,reliability__dtd_resnet50__no_crossfit,reliability,DTD / ResNet-50,no_crossfit,"0,1,2",R2-C2,33,99,7.83,"{""trso_ablation"": ""no_crossfit""}"
14,5,calibration__flowers_vit_b16__frac_1_alternating,calibration,Flowers-102 / ViT-B16,frac_1_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",42,126,7.83,"{""calibration_fraction"": 1.0, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
14,6,lora_rank_sweep__flowers_vit_b16__lora_r8,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r8,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.83,"{""lora_rank"": 8}"
